ALL
"PAT_NO	ADM_DATE	DIS_DATE	TOT_NO_DXS	OCCURRENCE	DIAGNOSIS"
"1583203	12/26/00	12/29/00	2	1	656.61"
"					"
"1583203	12/26/00	12/29/00	2	2	1027"
"					"
"1604689	10/4/00	10/5/00	2	1	664.01"
"					"
"1604689	10/4/00	10/5/00	2	2	1027"
"					"
"1627729	11/23/00	11/28/00	5	1	340"
"					"
"1627729	11/23/00	11/28/00	5	2	781.2"
"					"
"1627729	11/23/00	11/28/00	5	3	368.8"
"					"
"1627729	11/23/00	11/28/00	5	4	596.5"
"					"
"1627729	11/23/00	11/28/00	5	5	782"
"					"
"1652977	10/28/00	11/11/00	7	1	428"
"					"
"1652977	10/28/00	11/11/00	7	2	411.1"
"					"
"1652977	10/28/00	11/11/00	7	3	276.8"
"					"
"1652977	10/28/00	11/11/00	7	4	412"
"					"
"1652977	10/28/00	11/11/00	7	5	1012.5"
"					"
"1652977	10/28/00	11/11/00	7	6	285.9"
"					"
"1652977	10/28/00	11/11/00	7	7	403.9"
"					"
"1664089	12/4/00	12/7/00	3	1	648.93"
"					"
"1664089	12/4/00	12/7/00	3	2	848.8"
"					"
"1664089	12/4/00	12/7/00	3	3	10927"
"					"
"1667677	11/2/00	11/4/00	2	1	661.21"
"					"
"1667677	11/2/00	11/4/00	2	2	1027"
"					"
"1672945	10/24/00	10/26/00	4	1	427.61"
"					"
"1672945	10/24/00	10/26/00	4	2	710.3"
"					"
"1672945	10/24/00	10/26/00	4	3	780.2"
"					"
"1672945	10/24/00	10/26/00	4	4	1010.04"
"					"
"1680865	10/3/00	10/4/00	2	1	650"
"					"
"1680865	10/3/00	10/4/00	2	2	1027"
"					"
"1696633	10/8/00	10/16/00	15	1	427.31"
"					"
"1696633	10/8/00	10/16/00	15	2	496"
"					"
"1696633	10/8/00	10/16/00	15	3	512.8"
"					"
"1696633	10/8/00	10/16/00	15	4	599"
"					"
"1696633	10/8/00	10/16/00	15	5	276.8"
"					"
"1696633	10/8/00	10/16/00	15	6	780.2"
"					"
"1696633	10/8/00	10/16/00	15	7	427.1"
"					"
"1696633	10/8/00	10/16/00	15	8	441.4"
"					"
"1696633	10/8/00	10/16/00	15	9	401.9"
"					"
"1696633	10/8/00	10/16/00	15	10	414"
"					"
"1696633	10/8/00	10/16/00	15	11	824.8"
"					"
"55411	10/25/00	11/5/00	7	1	780.7"
"					"
"55411	10/25/00	11/5/00	7	2	191.2"
"					"
"55411	10/25/00	11/5/00	7	3	112"
"					"
"55411	10/25/00	11/5/00	7	4	244.9"
"					"
"55411	10/25/00	11/5/00	7	5	1045.89"
"					"
"55411	10/25/00	11/5/00	7	6	706.3"
"					"
"55411	10/25/00	11/5/00	7	7	533.9"
"					"
"235219	11/19/00	11/21/00	8	1	595.2"
"					"
"235219	11/19/00	11/21/00	8	2	250.01"
"					"
"235219	11/19/00	11/21/00	8	3	496"
"					"
"235219	11/19/00	11/21/00	8	4	428"
"					"
"235219	11/19/00	11/21/00	8	5	427.31"
"					"
"235219	11/19/00	11/21/00	8	6	1010.51"
"					"
"235219	11/19/00	11/21/00	8	7	596.8"
"					"
"235219	11/19/00	11/21/00	8	8	414"
"					"
"238705	12/18/00	12/24/00	1	1	724.02"
"					"
"296353	12/4/00	12/6/00	1	1	353"
"					"
"304249	12/20/00	12/21/00	2	1	414"
"					"
"304249	12/20/00	12/21/00	2	2	272"
"					"
"308725	12/2/00	12/3/00	2	1	650"
"					"
"308725	12/2/00	12/3/00	2	2	1027"
"					"
"321349	12/24/00	12/25/00	2	1	998.1"
"					"
"321349	12/24/00	12/25/00	2	2	174.8"
"					"
"337111	10/13/00	10/15/00	2	1	650"
"					"
"337111	10/13/00	10/15/00	2	2	1027"
"					"
"351541	11/2/00	11/3/00	4	1	596.8"
"					"
"351541	11/2/00	11/3/00	4	2	625.9"
"					"
"351541	11/2/00	11/3/00	4	3	493.9"
"					"
"351541	11/2/00	11/3/00	4	4	131.01"
"					"
"352783	12/11/00	12/15/00	5	1	661.11"
"					"
"352783	12/11/00	12/15/00	5	2	659.21"
"					"
"352783	12/11/00	12/15/00	5	3	658.41"
"					"
"352783	12/11/00	12/15/00	5	4	656.31"
"					"
"352783	12/11/00	12/15/00	5	5	1027"
"					"
"363649	12/11/00	12/12/00	3	1	780.4"
"					"
"363649	12/11/00	12/12/00	3	2	427.89"
"					"
"363649	12/11/00	12/12/00	3	3	593.89"
"					"
"389017	10/30/00	11/3/00	5	1	550.9"
"					"
"389017	10/30/00	11/3/00	5	2	596"
"					"
"389017	10/30/00	11/3/00	5	3	600"
"					"
"389017	10/30/00	11/3/00	5	4	1015.3"
"					"
"389017	10/30/00	11/3/00	5	5	1010.46"
"					"
"390379	10/16/00	10/18/00	6	1	413.9"
"					"
"390379	10/16/00	10/18/00	6	2	414"
"					"
"390379	10/16/00	10/18/00	6	3	412"
"					"
"390379	10/16/00	10/18/00	6	4	272"
"					"
"390379	10/16/00	10/18/00	6	5	716.99"
"					"
"390379	10/16/00	10/18/00	6	6	1012.7"
"					"
"398791	11/26/00	12/3/00	2	1	715.95"
"					"
"398791	11/26/00	12/3/00	2	2	401.9"
"					"
"400075	11/24/00	11/24/00	1	1	644.03"
"					"
"400075	12/3/00	12/4/00	2	1	664.11"
"					"
"400075	12/3/00	12/4/00	2	2	1027"
"					"
"408619	12/5/00	12/7/00	8	1	411.1"
"					"
"408619	12/5/00	12/7/00	8	2	428"
"					"
"408619	12/5/00	12/7/00	8	3	414"
"					"
"408619	12/5/00	12/7/00	8	4	715.9"
"					"
"408619	12/5/00	12/7/00	8	5	401.9"
"					"
"408619	12/5/00	12/7/00	8	6	250"
"					"
"408619	12/5/00	12/7/00	8	7	1012"
"					"
"408619	12/5/00	12/7/00	8	8	278"
"					"
"420649	11/13/00	11/18/00	3	1	641.11"
"					"
"420649	11/13/00	11/18/00	3	2	654.21"
"					"
"420649	11/13/00	11/18/00	3	3	1027"
"					"
"469675	10/3/00	10/18/00	10	1	386.3"
"					"
"469675	10/3/00	10/18/00	10	2	427.31"
"					"
"469675	10/3/00	10/18/00	10	3	276.5"
"					"
"469675	10/3/00	10/18/00	10	4	276.1"
"					"
"469675	10/3/00	10/18/00	10	5	1010.3"
"					"
"469675	10/3/00	10/18/00	10	6	536.8"
"					"
"469675	10/3/00	10/18/00	10	7	401.9"
"					"
"469675	10/3/00	10/18/00	10	8	715.91"
"					"
"469675	10/3/00	10/18/00	10	9	536.2"
"					"
"469675	10/3/00	10/18/00	10	10	530.1"
"					"
"480001	12/5/00	12/10/00	7	1	411.1"
"					"
"480001	12/5/00	12/10/00	7	2	250.91"
"					"
"480001	12/5/00	12/10/00	7	3	244"
"					"
"480001	12/5/00	12/10/00	7	4	272.4"
"					"
"480001	12/5/00	12/10/00	7	5	458.9"
"					"
"480001	12/5/00	12/10/00	7	6	251.2"
"					"
"480001	12/5/00	12/10/00	7	7	10932.3"
"					"
"483637	12/18/00	12/19/00	2	1	650"
"					"
"483637	12/18/00	12/19/00	2	2	1027"
"					"
"487471	10/2/00	10/10/00	5	1	170"
"					"
"487471	10/2/00	10/10/00	5	2	197.3"
"					"
"487471	10/2/00	10/10/00	5	3	997.4"
"					"
"487471	10/2/00	10/10/00	5	4	560.1"
"					"
"487471	10/2/00	10/10/00	5	5	471"
"					"
"488017	10/22/00	10/25/00	2	1	650"
"					"
"488017	10/22/00	10/25/00	2	2	1027"
"					"
"488119	12/27/00	12/30/00	5	1	733.1"
"					"
"488119	12/27/00	12/30/00	5	2	491.2"
"					"
"488119	12/27/00	12/30/00	5	3	1010.11"
"					"
"488119	12/27/00	12/30/00	5	4	733"
"					"
"488119	12/27/00	12/30/00	5	5	737.41"
"					"
"496459	12/2/00	12/4/00	2	1	664.11"
"					"
"496459	12/2/00	12/4/00	2	2	1027"
"					"
"509029	10/13/00	10/15/00	2	1	664.01"
"					"
"509029	10/13/00	10/15/00	2	2	1027"
"					"
"511477	10/14/00	10/16/00	3	1	411.1"
"					"
"511477	10/14/00	10/16/00	3	2	414"
"					"
"511477	10/14/00	10/16/00	3	3	244.9"
"					"
"517837	10/30/00	11/1/00	5	1	997.9"
"					"
"517837	10/30/00	11/1/00	5	2	276.5"
"					"
"517837	10/30/00	11/1/00	5	3	780.6"
"					"
"517837	10/30/00	11/1/00	5	4	458"
"					"
"517837	10/30/00	11/1/00	5	5	1045.89"
"					"
"529147	11/22/00	12/2/00	16	1	250.8"
"					"
"529147	11/22/00	12/2/00	16	2	730.87"
"					"
"529147	11/22/00	12/2/00	16	3	682.7"
"					"
"529147	11/22/00	12/2/00	16	4	578.1"
"					"
"529147	11/22/00	12/2/00	16	5	250.4"
"					"
"529147	11/22/00	12/2/00	16	6	585"
"					"
"529147	11/22/00	12/2/00	16	7	250.5"
"					"
"529147	11/22/00	12/2/00	16	8	250.7"
"					"
"529147	11/22/00	12/2/00	16	9	362.01"
"					"
"529147	11/22/00	12/2/00	16	10	443.81"
"					"
"529147	11/22/00	12/2/00	16	11	250.6"
"					"
"529147	11/22/00	12/2/00	16	12	713.5"
"					"
"529147	11/22/00	12/2/00	16	13	414"
"					"
"529147	11/22/00	12/2/00	16	14	533.9"
"					"
"529147	11/22/00	12/2/00	16	15	736.89"
"					"
"529147	11/22/00	12/2/00	16	16	1012.5"
"					"
"529249	11/21/00	11/26/00	8	1	599"
"					"
"529249	11/21/00	11/26/00	8	2	428"
"					"
"529249	11/21/00	11/26/00	8	3	427.31"
"					"
"529249	11/21/00	11/26/00	8	4	250.4"
"					"
"529249	11/21/00	11/26/00	8	5	276.5"
"					"
"529249	11/21/00	11/26/00	8	6	274.9"
"					"
"529249	11/21/00	11/26/00	8	7	583.81"
"					"
"529249	11/21/00	11/26/00	8	8	41.8"
"					"
"540559	11/7/00	11/9/00	3	1	574.51"
"					"
"540559	11/7/00	11/9/00	3	2	274.9"
"					"
"540559	11/7/00	11/9/00	3	3	535.5"
"					"
"543553	10/17/00	10/21/00	12	1	162.3"
"					"
"543553	10/17/00	10/21/00	12	2	820.21"
"					"
"543553	10/17/00	10/21/00	12	3	276.7"
"					"
"543553	10/17/00	10/21/00	12	4	584.9"
"					"
"543553	10/17/00	10/21/00	12	5	38.9"
"					"
"543553	10/17/00	10/21/00	12	6	275.4"
"					"
"543553	10/17/00	10/21/00	12	7	199.1"
"					"
"543553	10/17/00	10/21/00	12	8	10885"
"					"
"543553	10/17/00	10/21/00	12	9	288.8"
"					"
"543553	10/17/00	10/21/00	12	10	293"
"					"
"543553	10/17/00	10/21/00	12	11	244.9"
"					"
"543553	10/17/00	10/21/00	12	12	1015.3"
"					"
"565483	11/7/00	11/8/00	2	1	650"
"					"
"565483	11/7/00	11/8/00	2	2	1027"
"					"
"581347	10/29/00	10/31/00	3	1	659.81"
"					"
"581347	10/29/00	10/31/00	3	2	792.3"
"					"
"581347	10/29/00	10/31/00	3	3	1027"
"					"
"581869	12/4/00	12/5/00	3	1	648.61"
"					"
"581869	12/4/00	12/5/00	3	2	424"
"					"
"581869	12/4/00	12/5/00	3	3	1027"
"					"
"598723	10/1/00	10/6/00	3	1	652.31"
"					"
"598723	10/1/00	10/6/00	3	2	641.01"
"					"
"598723	10/1/00	10/6/00	3	3	1027"
"					"
"603649	10/20/00	10/22/00	3	1	659.81"
"					"
"603649	10/20/00	10/22/00	3	2	792.3"
"					"
"603649	10/20/00	10/22/00	3	3	1027"
"					"
"605455	10/21/00	10/23/00	2	1	574.1"
"					"
"605455	10/21/00	10/23/00	2	2	1025.2"
"					"
"628447	11/21/00	11/22/00	4	1	414"
"					"
"628447	11/21/00	11/22/00	4	2	997.1"
"					"
"628447	11/21/00	11/22/00	4	3	413.9"
"					"
"628447	11/21/00	11/22/00	4	4	427.89"
"					"
"639631	11/20/00	11/23/00	4	1	996.2"
"					"
"639631	11/20/00	11/23/00	4	2	331.4"
"					"
